player_id,full_name,team_name,team_id,element_type,now_cost_millions,expected_points,starting,bench,captain
733,Senne Lammens,Man Utd,14,1,5.0,9.090313467199657,1,0,0
403,Joško Gvardiol,Man City,13,2,5.9,12.071457716071864,1,0,0
151,Jan Paul van Hecke,Brighton,6,2,4.4,11.907112756190585,1,0,0
476,Dan Burn,Newcastle,15,2,5.1,11.603607579682997,1,0,0
8,Jurriën Timber,Arsenal,1,2,5.9,11.125909848823618,1,0,0
82,Antoine Semenyo,Bournemouth,4,3,7.9,18.61402348866033,1,0,1
53,Donyell Malen,Aston Villa,2,3,5.1,15.569818985586595,1,0,0
488,Bruno Guimarães Rodriguez Moura,Newcastle,15,3,6.5,14.909225311549365,1,0,0
582,Mohammed Kudus,Spurs,18,3,6.8,12.705516925015047,1,0,0
21,Declan Rice,Arsenal,1,3,6.5,11.522110810653231,1,0,0
681,Benjamin Sesko,Man Utd,14,4,7.3,9.402546834112611,1,0,0
